Row,kDN,DS,DCP,TD_P,TD_U,CL,CLD,N1,N2,LSC,LSR,Harmfulness,Usefulness,F2,F3,F4
1,0.4,0.98,0.7183098591549295,1.0,0.3684210526315789,0.4579003865855029,0.4579003865855029,0.0,0.4542102028272895,0.9887640449438202,0.9200994258270958,0.0,1.0,0.1583793738489871,0.5344194553081352,0.7027027027027026
2,0.6,1.0,0.3949579831932773,1.0,0.4736842105263157,0.5074260711613037,0.5074260711613037,0.0,0.3873266813528573,0.9887640449438202,0.9520562183429584,0.0,0.99438202247191,0.6666666666666666,0.7795803066989508,0.8190476190476191
3,0.3,0.9,0.3949579831932773,1.0,0.2105263157894736,0.4652785931790635,0.4652785931790635,0.0,0.3978412455821951,0.9887640449438202,0.947188968660205,0.0,0.9887640449438202,0.6842105263157894,0.8216122821385978,0.8686868686868686
4,0.1,0.9,0.3949579831932773,1.0,0.2105263157894736,0.4581503715633186,0.4581503715633186,0.0,0.2310018610421836,0.9550561797752808,0.8396392084318374,0.0,0.9831460674157304,0.7027027027027026,0.8858269105793857,0.9504950495049505
5,0.5,0.86,0.2816901408450704,1.0,0.4210526315789473,0.5420954219306185,0.5420954219306185,0.5,0.4150030248033878,0.9964912280701754,0.9460453943446482,0.0112359550561797,0.9964912280701754,0.6842105263157894,0.8493206502141899,0.9662921348314606
6,0.6,0.98,0.2542372881355932,0.6666666666666666,0.631578947368421,0.2383778573853482,0.2383778573853482,1.0,0.999999999999951,0.9982456140350876,1.0,0.0056179775280898,1.0,0.6760563380281691,0.7043218661562873,0.7428571428571428
7,0.3,1.0,0.3949579831932773,1.0,0.4736842105263157,0.7151870744345831,0.7151870744345831,0.0,0.4302533172496984,0.9719101123595506,0.974205048889821,0.0,1.0,0.7027027027027026,0.7250152250152251,0.7350427350427351
8,0.8,0.98,0.6050420168067228,1.0,0.4736842105263157,0.4636197652677503,0.4636197652677503,1.0,0.6807530326482127,0.9982456140350876,0.9747081989465788,0.0056179775280898,1.0,0.6842105263157894,0.7891380066736682,0.8648648648648649
9,0.3,0.98,0.3949579831932773,1.0,0.631578947368421,0.6514103985121382,0.6514103985121382,0.5,0.4674512257105994,0.9887640449438202,0.9682532653384672,0.0035087719298245,1.0,0.7027027027027026,0.7497550362237773,0.7741935483870969
10,0.4,0.98,0.7183098591549295,1.0,0.3684210526315789,0.4579003865855029,0.4579003865855029,0.5,0.6252115059221658,0.99438202247191,0.9575385795073326,0.0017543859649122,0.99438202247191,0.1560798548094374,0.5585172362956071,0.7647058823529411
11,0.6,1.0,0.2816901408450704,1.0,0.5263157894736842,0.5420878832823547,0.5420878832823547,0.6666666666666666,0.5362413599850551,0.9982456140350876,0.914870147684148,0.0224719101123595,0.9982456140350876,0.7428571428571428,0.9107363900467348,0.9885057471264368
12,0.5,0.98,0.2542372881355932,0.6666666666666666,0.4210526315789473,0.2342516228207576,0.2342516228207576,0.6666666666666666,0.6016260162601625,0.9982456140350876,0.990058289197266,0.0112359550561797,1.0,0.6666666666666666,0.679680751173709,0.6880000000000001
13,0.4,0.9,0.3949579831932773,1.0,0.5263157894736842,0.6120405338602412,0.6120405338602412,0.2,0.3983739837398374,0.9775280898876404,0.9827182718271829,0.0035087719298245,0.9775280898876404,0.7027027027027026,0.7664528935715377,0.8135593220338984
14,0.6,0.98,0.6050420168067228,1.0,0.4736842105263157,0.4909047230451054,0.4909047230451054,1.0,0.6602105717057746,0.9982456140350876,0.9706159281805554,0.0112359550561797,1.0,0.6842105263157894,0.8230006835269994,0.9696969696969696
15,0.3,0.92,0.3949579831932773,1.0,0.4210526315789473,0.7364907949658293,0.7364907949658293,0.0,0.0,0.9775280898876404,0.9859260778957144,0.0,0.9775280898876404,0.7027027027027026,0.7202263203610307,0.7328244274809159
16,0.4,0.96,0.3949579831932773,1.0,0.3157894736842105,0.7503423456102924,0.7503423456102924,0.5,0.3695980122459845,0.9831460674157304,0.985119739595443,0.0,0.9887640449438202,0.7027027027027026,0.7088253542798998,0.7111111111111111
17,0.6,1.0,0.3949579831932773,1.0,0.5789473684210527,0.486945748398402,0.486945748398402,0.6666666666666666,0.4417418012483899,0.9887640449438202,0.9674676813108772,0.0017543859649122,0.9887640449438202,0.7027027027027026,0.8380493630146889,0.9795918367346936
18,0.6,0.9,0.3949579831932773,1.0,0.2105263157894736,0.4734600018594904,0.4734600018594904,0.0,0.3063945297735628,0.9887640449438202,0.9401855533858604,0.0,0.9887640449438202,0.7027027027027026,0.8488409303454726,0.9896907216494848
19,0.3,0.92,0.3949579831932773,1.0,0.4210526315789473,0.7364907949658293,0.7364907949658293,0.0,0.0,0.9775280898876404,0.9859260778957144,0.0,0.9775280898876404,0.7027027027027026,0.7202263203610307,0.7328244274809159
20,0.5,0.96,0.7457627118644068,0.6666666666666666,0.631578947368421,0.759994966702431,0.759994966702431,0.5,0.0,0.9887640449438202,0.9906724038785668,0.0,0.99438202247191,0.6760563380281691,0.688689760182718,0.7027027027027026
21,0.5,0.96,0.7457627118644068,0.6666666666666666,0.631578947368421,0.759994966702431,0.759994966702431,1.0,0.0,0.9887640449438202,0.9906724038785668,0.0017543859649122,0.99438202247191,0.6760563380281691,0.688689760182718,0.7027027027027026
22,0.6,0.94,0.6050420168067228,1.0,0.4736842105263157,0.4262984910137646,0.4262984910137646,0.5,0.3983739837398374,0.9964912280701754,0.9805926031154556,0.0,0.9929824561403509,0.7428571428571428,0.7835995290667969,0.8135593220338984
23,0.4,0.92,0.3949579831932773,1.0,0.4210526315789473,0.7365847083649231,0.7365847083649231,0.25,0.0,0.9719101123595506,0.9845981068506338,0.0,0.9775280898876404,0.7027027027027026,0.7216355981061864,0.7384615384615385
24,0.4,0.92,0.3949579831932773,1.0,0.4210526315789473,0.7365847083649231,0.7365847083649231,0.0,0.0,0.9719101123595506,0.9845981068506338,0.0,0.9775280898876404,0.7027027027027026,0.7216355981061864,0.7384615384615385
25,0.5,1.0,0.1076115485564304,0.3333333333333333,0.4736842105263157,0.2873091322463472,0.2873091322463472,1.0,0.5053101988384505,0.9982456140350876,0.9339198105227542,0.0,0.9982456140350876,0.7384615384615385,0.7818130247333787,0.8666666666666667
26,0.7,0.98,0.6050420168067228,1.0,0.5789473684210527,0.5132107696853515,0.5132107696853515,0.6666666666666666,0.5614733943149406,0.9982456140350876,0.9723913083863296,0.0112359550561797,0.9982456140350876,0.7428571428571428,0.8296051082092483,0.9056603773584908
27,0.9,0.98,0.6050420168067228,1.0,0.4736842105263157,0.2598708668904312,0.2598708668904312,1.0,0.0,0.9964912280701754,0.9915071624647498,0.0112359550561797,0.9982456140350876,0.7226890756302521,0.7288770053475935,0.7428571428571428
28,0.5,0.92,0.3949579831932773,1.0,0.5789473684210527,0.5372661504752205,0.5372661504752205,1.0,0.6350656297576431,0.99438202247191,0.9772990212138586,0.0017543859649122,1.0,0.7428571428571428,0.8018691588785046,0.8571428571428572
29,0.3,0.96,0.3949579831932773,1.0,0.3157894736842105,0.7538751331316629,0.7538751331316629,0.0,0.260752519877293,0.9606741573033708,0.9755079182352758,0.0,0.9831460674157304,0.7107438016528926,0.7188639643185097,0.7428571428571428
30,0.7,1.0,0.6050420168067228,1.0,0.4210526315789473,0.3086813208977665,0.3086813208977665,1.0,0.5873287671232877,0.9982456140350876,0.9777102304967642,0.0056179775280898,1.0,0.7428571428571428,0.7516273291925464,0.7679999999999999
31,0.4,0.86,0.2816901408450704,1.0,0.4210526315789473,0.5107190410045214,0.5107190410045214,1.0,0.8299930609412629,0.9982456140350876,0.985869860225268,0.0056179775280898,1.0,0.6842105263157894,0.819297590503518,0.9230769230769232
32,0.4,0.9,0.3949579831932773,1.0,0.5263157894736842,0.6157672536828346,0.6157672536828346,0.0,0.0,0.9775280898876404,0.9829137945133656,0.0017543859649122,0.9775280898876404,0.7428571428571428,0.7764915036101476,0.8135593220338984
33,0.4,0.9,0.3949579831932773,1.0,0.5263157894736842,0.6157672536828346,0.6157672536828346,0.0,0.0,0.9775280898876404,0.9829137945133656,0.0,0.9775280898876404,0.7428571428571428,0.7764915036101476,0.8135593220338984
34,0.2,0.98,0.3949579831932773,1.0,0.631578947368421,0.6564371476660635,0.6564371476660635,0.25,0.5,0.99438202247191,0.9914983212349708,0.0,0.99438202247191,0.7428571428571428,0.766245259165613,0.8
35,0.5,0.86,0.2816901408450704,1.0,0.4210526315789473,0.5335291447596399,0.5335291447596399,0.5,0.3131446707220312,0.9964912280701754,0.9470061285429576,0.0,0.9982456140350876,0.7027027027027026,0.8282009282009282,0.8727272727272728
36,0.5,0.98,0.3949579831932773,1.0,0.7368421052631579,0.689048506803345,0.689048506803345,0.5,0.6016260162601625,0.99438202247191,0.9889389999012412,0.0,1.0,0.7027027027027026,0.7529785496624111,0.8135593220338984
37,0.5,1.0,0.3949579831932773,1.0,0.631578947368421,0.5389248086557279,0.5389248086557279,0.75,0.5,0.9887640449438202,0.9753956100051048,0.0017543859649122,1.0,0.7027027027027026,0.8199690769784227,0.9696969696969696
38,0.2,0.92,0.3949579831932773,1.0,0.4210526315789473,0.74029915251111,0.74029915251111,0.6666666666666666,0.5647058823529412,0.99438202247191,0.9922179823413012,0.0035087719298245,0.9887640449438202,0.7226890756302521,0.7316742081447963,0.7428571428571428
39,0.6,0.96,0.7183098591549295,1.0,0.3157894736842105,0.4885489228692798,0.4885489228692798,0.6666666666666666,0.775120133902057,0.99438202247191,0.9873817321412882,0.0070175438596491,1.0,0.7027027027027026,0.8261611125688796,0.9320388349514562
