Row,d_1,d_2,V1,V2,V3,V4
1,10.698388934466637,-1.1431991314454675,2,50,12500.0,98
2,1.5506424140432364,-1.3932156605011992,0,13,3250.0,28
3,2.309522689233028,-1.2572602437474414,1,16,4000.0,35
4,3.3387330677196583,-1.1031977439435867,2,20,5000.0,45
5,4.837148655576574,-0.8286779084794799,1,24,6000.0,77
6,-0.8677221800058005,-1.0562548275638022,4,4,1000.0,4
7,-0.013342657375311732,-1.212489525431647,2,7,1750.0,14
8,1.471525702691568,-1.140538128703035,1,12,3000.0,35
9,0.5678714536593472,-1.1447502847906552,2,9,2250.0,22
10,9.825723557145952,-0.6869992899682599,5,46,11500.0,98
11,4.207718925972655,-0.7595078614231657,4,23,5750.0,58
12,-1.0309969056022006,-1.4797112673797685,0,3,750.0,4
13,0.899032413617659,-1.0793555899293603,2,10,2500.0,28
14,1.9243483759728264,-0.9805682102193438,1,13,3250.0,47
15,-0.20256495179018563,-1.1675464594001461,2,6,1500.0,15
16,-0.4931720073075151,-1.201416079720642,2,5,1250.0,11
17,2.1425684445689415,-0.880826959565779,2,14,3500.0,48
18,2.3723446434247975,-0.8942449510564813,2,15,3750.0,49
19,-0.20256495179018563,-1.1675464594001461,2,6,1500.0,15
20,-1.054109166121683,-1.2533927830912346,2,3,750.0,4
21,-1.054109166121683,-1.2533927830912346,2,3,750.0,4
22,1.0854193997335415,-0.8822176344019281,4,11,2750.0,28
23,-0.18228799956969452,-1.1517839221297468,2,6,1500.0,16
24,-0.18228799956969452,-1.1517839221297468,2,6,1500.0,16
25,0.36531682851821184,-0.4472108134031827,9,9,2250.0,16
26,1.9572405662855301,-0.7806087734404402,4,14,3500.0,40
27,-0.2459541645301592,-0.9569905123820117,4,6,1500.0,14
28,1.4165803596918531,-0.8168229395406335,4,12,3000.0,34
29,-0.5162842678269977,-0.9750975954321082,4,5,1250.0,11
30,0.31498299428400867,-0.9050138090114191,4,8,2000.0,21
31,2.3568940970335936,-0.8363608290060524,1,14,3500.0,58
32,0.8759201530981765,-0.8530371056408266,4,10,2500.0,28
33,0.8759201530981765,-0.8530371056408266,4,10,2500.0,28
34,0.6258670020218292,-0.8553816514205238,4,9,2250.0,26
35,2.885998173367529,-0.6869874207615922,2,16,4000.0,64
36,0.48003392034692893,-1.0209945324071572,2,8,2000.0,28
37,1.7032929990777201,-0.8382284393139752,2,12,3000.0,47
38,-0.20540026008917697,-0.9254654378412129,4,6,1500.0,16
39,2.3250610145533614,-0.7389641241321846,2,14,3500.0,57
40,0.12576069986913474,-0.8600707429799181,4,7,1750.0,22
41,2.034453959036032,-0.7728337444526804,2,13,3250.0,53
42,-0.3917872462050595,-1.122603393368645,2,5,1250.0,16
43,-0.3917872462050595,-1.122603393368645,2,5,1250.0,16
44,-0.3917872462050595,-1.122603393368645,2,5,1250.0,16
45,3.8022676604919625,-0.49857836516546766,4,20,5000.0,69
46,0.6664209064628114,-0.823856576879725,4,9,2250.0,28
47,0.8517487847462228,-0.9240747630050637,2,9,2250.0,36
48,-1.3041623171980303,-1.2557373288709317,2,2,500.0,2
49,-1.3041623171980303,-1.2557373288709317,2,2,500.0,2
50,-1.3041623171980303,-1.2557373288709317,2,2,500.0,2
51,1.473516800221864,-0.824810447823273,2,11,2750.0,46
52,1.473516800221864,-0.824810447823273,2,11,2750.0,46
53,-0.06062628624674781,-1.0572086985073503,2,6,1500.0,22
54,1.8046777601801756,-0.7594157529619782,2,12,3000.0,52
55,-0.4554534111655242,-0.9278099836209099,4,5,1250.0,14
56,3.5927684138565974,-0.4693978364043661,4,19,4750.0,69
57,0.41636775538646426,-0.8262011226594221,4,8,2000.0,26
58,0.2705346737115639,-0.9918140036460557,2,7,1750.0,28
59,3.230706361115878,-0.4190242871648025,2,16,4000.0,81
60,-0.09245936872698016,-0.959811993633483,3,6,1500.0,21
61,0.29081162593205506,-0.9760514663756563,2,7,1750.0,29
62,0.6219725858903667,-0.9106567715143615,2,8,2000.0,35
63,1.3248484102479725,-0.7483423072509733,2,10,2500.0,49
64,-0.41489950672454196,-0.8962849090801112,4,5,1250.0,16
65,-0.9527244050192274,-1.1745800967392375,2,3,750.0,9
66,3.077211565312699,-0.4162028059133312,3,16,4000.0,74
67,-0.6418403972814067,-1.1249479391483421,2,4,1000.0,14
68,-1.2404961522375655,-1.450530738618667,0,2,500.0,4
69,0.18659155653060808,-0.81278313116872,4,7,1750.0,25
70,1.167459198313331,-0.80079594609334,1,9,2250.0,51
71,-0.6012864928404246,-1.0934228646075435,2,4,1000.0,16
72,-0.6012864928404246,-1.0934228646075435,2,4,1000.0,16
73,3.2143238250268493,-0.379511704341364,4,17,4250.0,71
74,-1.263608412757048,-1.2242122543301328,2,2,500.0,4
75,-1.263608412757048,-1.2242122543301328,2,2,500.0,4
76,-1.263608412757048,-1.2242122543301328,2,2,500.0,4
77,-0.6012864928404246,-1.0934228646075435,2,4,1000.0,16
78,-1.263608412757048,-1.2242122543301328,2,2,500.0,4
79,-1.263608412757048,-1.2242122543301328,2,2,500.0,4
80,-1.263608412757048,-1.2242122543301328,2,2,500.0,4
81,-0.06346159454573916,-0.8151276769484173,4,6,1500.0,23
82,-0.6012864928404246,-1.0934228646075435,2,4,1000.0,16
83,-0.6012864928404246,-1.0934228646075435,2,4,1000.0,16
84,-0.6012864928404246,-1.0934228646075435,2,4,1000.0,16
85,0.061035427076198884,-0.9626334748849541,2,6,1500.0,28
86,0.061035427076198884,-0.9626334748849541,2,6,1500.0,28
87,-1.2867206732765304,-0.9978937700415991,4,2,500.0,4
88,-1.2867206732765304,-0.9978937700415991,4,2,500.0,4
89,-1.2867206732765304,-0.9978937700415991,4,2,500.0,4
90,0.41247333925500174,-0.88147624275326,2,7,1750.0,35
91,-1.2867206732765304,-0.9978937700415991,4,2,500.0,4
92,-1.2867206732765304,-0.9978937700415991,4,2,500.0,4
93,-1.2867206732765304,-0.9978937700415991,4,2,500.0,4
94,-1.2867206732765304,-0.9978937700415991,4,2,500.0,4
95,0.8915855965531561,-0.05575638359978931,12,11,2750.0,23
96,0.24742241319208144,-0.7654955193575218,4,7,1750.0,28
97,3.5300342385939576,-0.25623288742964023,3,17,4250.0,86
98,0.8691904286677226,-0.6662312041757311,4,9,2250.0,38
99,-0.6649526578008893,-0.8986294548598084,4,4,1000.0,14
100,0.19531237849135796,-0.6838613517540536,5,7,1750.0,26
101,0.5785833731503931,-0.700100824496227,4,8,2000.0,34
102,2.5008238601073276,-0.4102953872334943,2,13,3250.0,76
103,0.9097443331087048,-0.6347061296349323,4,9,2250.0,40
104,-0.18901772400014835,-0.9649780206646511,2,5,1250.0,26
105,-0.18901772400014835,-0.9649780206646511,2,5,1250.0,26
106,3.170934612286876,-0.16895575732322946,6,17,4250.0,70
107,1.1317316997016362,-0.7586743613133102,0,8,2000.0,59
108,-0.2005738542598896,-0.8518187785203842,3,5,1250.0,26
109,-0.8513396439167719,-1.0957674103872406,2,3,750.0,14
110,1.6290026935553392,-0.5119042481949825,2,10,2500.0,64
111,-0.27296084118110414,-0.7859471481873155,4,5,1250.0,23
112,1.0314060464316515,-0.540130906012536,4,9,2250.0,46
113,-0.27296084118110414,-0.7859471481873155,4,5,1250.0,23
114,0.7002450864733398,-0.6055256008738307,4,8,2000.0,40
115,2.4129863267949094,-0.28653963484999645,2,12,3000.0,82
116,4.457986974112778,0.09800152844799784,11,24,6000.0,64
117,0.635519813680404,-0.7080883327788666,2,7,1750.0,46
118,1.7545588230097484,-0.36205390447874825,4,11,2750.0,61
119,0.8701224183655475,-0.6478596649487404,1,7,1750.0,57
120,2.142656223498071,-0.30464671790009307,2,11,2750.0,79
121,-0.8107857394757896,-1.064242335846442,2,3,750.0,16
122,-0.21212998451963083,-0.7386595363761173,4,5,1250.0,26
123,0.32463580594258346,-0.7577204903697621,2,6,1500.0,41
124,-0.04707905845671052,-0.8546402597718554,2,5,1250.0,33
125,-0.39851697063551333,-0.9357974919035495,2,4,1000.0,26
126,-0.026802106236219404,-0.838877722501456,2,5,1250.0,34
127,0.8219067997962866,-0.5109503772514343,4,8,2000.0,46
128,-0.39851697063551333,-0.9357974919035495,2,4,1000.0,26
129,0.8624607042372688,-0.47942530271063555,4,8,2000.0,48
130,-1.1419466994341014,-1.1296370307077366,2,2,500.0,10
131,-0.17157608007864858,-0.7071344618353185,4,5,1250.0,28
132,2.6765867056612938,-0.08162665033480433,2,12,3000.0,95
133,-1.1419466994341014,-1.1296370307077366,2,2,500.0,10
134,0.17986183210015425,-0.6259772297036246,4,6,1500.0,35
135,2.325148793482491,-0.16278388246649864,2,11,2750.0,88
136,-0.7499548828143162,-1.0169547240352437,2,3,750.0,19
137,0.034028750425253954,-0.7915901106902579,2,5,1250.0,37
138,2.7374175623227672,-0.03433903852360621,2,12,3000.0,98
139,-0.4118493013617748,-0.28320108654757814,9,5,1250.0,19
140,-1.1216697472136101,-1.1138744934373372,2,2,500.0,11
141,1.6222729691248852,-0.32509834672988697,2,9,2250.0,74
142,2.87842423816838,0.057627183142198744,5,14,3500.0,86
143,-0.833897999995272,-0.837923851557908,4,3,750.0,16
144,-0.833897999995272,-0.837923851557908,4,3,750.0,16
145,-1.1853359121740747,-0.9190810836896022,4,2,500.0,9
146,-0.833897999995272,-0.837923851557908,4,3,750.0,16
147,-0.8975641649557368,-0.6431304418101729,6,3,750.0,14
148,-1.1216697472136101,-1.1138744934373372,2,2,500.0,11
149,-1.1216697472136101,-1.1138744934373372,2,2,500.0,11
150,-1.1216697472136101,-1.1138744934373372,2,2,500.0,11
151,0.8788432403262973,-0.518937885534074,2,7,1750.0,58
152,0.2609696409821188,-0.562927080622027,4,6,1500.0,39
153,2.0992670107580973,-0.09409077088195858,4,11,2750.0,78
154,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
155,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
156,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
157,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
158,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
159,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
160,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
161,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
162,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
163,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
164,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
165,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
166,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
167,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
168,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
169,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
170,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
171,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
172,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
173,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
174,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
175,-1.5136615638333952,-1.2265568001098301,2,1,250.0,2
176,0.9369659068234257,0.049415350261838006,11,10,2500.0,35
177,-0.7052916651780956,-0.07498968530914077,11,4,1000.0,16
178,-0.07019131897619299,-0.6283217754833216,4,5,1250.0,33
179,0.301523545423101,-0.5314020060812282,4,6,1500.0,41
180,-0.6891240261528429,-0.9696671122240456,2,3,750.0,22
181,-0.4216292311549958,-0.7094790076150157,4,4,1000.0,26
182,-0.6937355349183544,-0.18814892745340772,10,4,1000.0,16
