Row,z_1,z_2
0,-1.3801405116987115,-1.0942504009368605
1,-1.4776060990651638,-0.7811195080498223
2,-1.5086110493102378,-0.7280092508470747
3,-1.660212746489074,0.33652653114810754
4,-1.4969568543994918,0.9984772784958134
5,-1.493980335323741,1.229665708871712
6,-0.20558242602109866,2.2399186634176544
7,0.28622379986196766,2.2373223350228195
8,0.6761303753975278,2.5296613522263987
9,2.0981309847633747,1.6324450303889437
10,1.9918842928579314,1.0903451026863635
11,2.046357516408365,0.7936727208494873
12,2.1229587543667665,0.5703824976491703
13,2.2547472518010214,0.1977621836594913
14,2.3196667373248308,-0.11479060608674292
15,2.3290982620124456,-0.5177163508586032
16,2.183327640309523,-1.2075186207995257
17,1.9394930681450937,-1.7774949173336607
18,1.8626705640510401,-1.8522886870410944
19,1.6263706473853778,-2.0898119909388235
20,1.069736067930412,-2.1750252765027285
21,0.02430634030618582,-2.1766473695663944
22,-0.8541206793399426,-2.393921765565526
23,-1.1746253296439777,-2.276380239432084
24,-1.5016721193081026,-1.710794371112941
25,-1.3551324682489168,-1.446588127984482
26,,
27,1.8524502617872656,2.297337434591509
28,0.6761303753975278,2.5296613522263987
29,1.359784452177456,2.7811937828194875
