Row,Part,Ring,Vertex,z_1,z_2
1,1,exterior,1,-2.3427368319288058,0.20341287883945763
2,1,exterior,2,-2.342589256246404,0.20360324417933548
3,1,exterior,3,-2.047347947186634,0.5479061063162264
4,1,exterior,4,-2.0467405068446274,0.5486900330943596
5,1,exterior,5,-2.046213702263039,0.5495302722837511
6,1,exterior,6,-2.045772714696433,0.5504185599222279
7,1,exterior,7,-2.0454218813676097,0.5513461594791262
8,1,exterior,8,-2.045164652809934,0.5523039477812512
9,1,exterior,9,-2.045003558930482,0.5532825047415629
10,1,exterior,10,-2.04494018412777,0.5542722060080838
11,1,exterior,11,-2.034870899447753,1.2563953849616825
12,1,exterior,12,-2.0348547004455657,1.2566443902161388
13,1,exterior,13,-2.0347197943657185,1.2568543101390564
14,1,exterior,14,-1.9109208843439518,1.4295994462085975
15,1,exterior,15,-1.9103551461695012,1.4304834013124206
16,1,exterior,16,-1.9098851663048217,1.4314217803586486
17,1,exterior,17,-1.909516121278781,1.4324042476997647
18,1,exterior,18,-1.909252075887287,1.4334199820837625
19,1,exterior,19,-1.9090959384221504,1.4344577958433482
20,1,exterior,20,-1.8699612738758593,1.837353533117406
21,1,exterior,21,-1.8699222414469938,1.837612345294212
22,1,exterior,22,-1.8698044458142926,1.8378460790364937
23,1,exterior,23,-1.707810827824189,2.120985608070618
24,1,exterior,24,-1.7076769210786054,2.1211943214898783
25,1,exterior,25,-1.7074333254226453,2.121240726923732
26,1,exterior,26,-1.4110141327236911,2.162253887103634
27,1,exterior,27,-1.4100349937338263,2.162439493987982
28,1,exterior,28,-1.4090791911204303,2.1627216365782025
29,1,exterior,29,-1.4081562175621485,2.163097512738265
30,1,exterior,30,-1.4072752396915718,2.163563389404932
31,1,exterior,31,-1.4064450070556274,2.164114639663167
32,1,exterior,32,-1.4056737652183084,2.164745788698942
33,1,exterior,33,-1.404969173868778,2.165450568173074
34,1,exterior,34,-1.4043382307481627,2.1662219784760515
35,1,exterior,35,-0.9616842544650107,2.766099906045633
36,1,exterior,36,-0.9615319317530266,2.7662863276495275
37,1,exterior,37,-0.961291193723203,2.766285676509781
38,1,exterior,38,0.37281004796681705,2.696767082132306
39,1,exterior,39,0.37304063609067634,2.696743756530648
40,1,exterior,40,0.373019784955424,2.6965129314957843
41,1,exterior,41,0.3283263469564796,2.376679755043435
42,1,exterior,42,0.3282388480466716,2.375713568047472
43,1,exterior,43,0.32824538430790845,2.3747434491642028
44,1,exterior,44,0.32834589422264016,2.373778528894219
45,1,exterior,45,0.3285394318183145,2.3728278888101455
46,1,exterior,46,0.32882417557061944,2.371900476083303
47,1,exterior,47,0.3291974455471844,2.37100501927531
48,1,exterior,48,0.3296557286303903,2.3701499461871864
49,1,exterior,49,0.3301947115818969,2.3693433045391346
50,1,exterior,50,0.33080932163769394,2.3685926862275415
51,1,exterior,51,0.3314937742516043,2.367905155872068
52,1,exterior,52,0.3322416275378931,2.3672871843253342
53,1,exterior,53,1.4644670829009199,1.520659203269993
54,1,exterior,54,1.4653618117046578,1.5200623828346636
55,1,exterior,55,1.4663154617934624,1.5195651044695722
56,1,exterior,56,1.9244983882856606,1.311173681664703
57,1,exterior,57,1.9247156690454512,1.3110613268535403
58,1,exterior,58,1.9247367019466697,1.3108176218079817
59,1,exterior,59,1.9592282543614772,0.3455562578982665
60,1,exterior,60,1.9592260195027587,0.3453291496572432
61,1,exterior,61,1.9592031294092935,0.3451031868475706
62,1,exterior,62,1.9044983683133097,-0.025597659544096485
63,1,exterior,63,1.9044394700226646,-0.025881311029017667
64,1,exterior,64,1.9043480167089883,-0.026156199124350576
65,1,exterior,65,1.6793191717050875,-0.5905479345809708
66,1,exterior,66,1.6790165329690334,-0.5914226360952138
67,1,exterior,67,1.678796064199073,-0.5923215723916506
68,1,exterior,68,1.6786596541356007,-0.5932370423464626
69,1,exterior,69,1.6786084713940055,-0.5941612031931457
70,1,exterior,70,1.6786429544532224,-0.5950861377109395
71,1,exterior,71,1.6787628078993162,-0.5960039220510974
72,1,exterior,72,1.6789670049562724,-0.5969066936199398
73,1,exterior,73,1.774725073732902,-0.9446076675365
74,1,exterior,74,1.774778705214599,-0.9448503463141074
75,1,exterior,75,1.7745991605239038,-0.9450221980786425
76,1,exterior,76,1.3858670300060798,-1.2806857997352128
77,1,exterior,77,1.3851997491151031,-1.281317784833978
78,1,exterior,78,1.384593308165029,-1.2820083630892087
79,1,exterior,79,1.384052829574278,-1.28275170140079
80,1,exterior,80,1.3835828785977018,-1.2835415210207914
81,1,exterior,81,1.1268179755822463,-1.7640307778405873
82,1,exterior,82,1.126698889722153,-1.7642304668340016
83,1,exterior,83,1.1265148391037978,-1.764372531981203
84,1,exterior,84,0.6402241806545181,-2.104536753146353
85,1,exterior,85,0.6400185260591251,-2.1046659008355038
86,1,exterior,86,0.6397822851223116,-2.1046096588761545
87,1,exterior,87,0.4046729523548435,-2.0361434027144694
88,1,exterior,88,0.4044396221330791,-2.0360624594597727
89,1,exterior,89,0.40433706481965836,-2.035837789033742
90,1,exterior,90,0.2903380047864146,-1.748494138287533
91,1,exterior,91,0.2899236682862567,-1.7475850900859384
92,1,exterior,92,0.28942069694054506,-1.7467219196545758
