Row,TD_P,TD_U,CL,MV,LSR,F4
1,0.6666666666666666,0.5384615384615384,0.390201611471157,0.4639999999999999,0.8245904923280436,0.9629629629629632
2,1.0,0.6153846153846154,0.1170978283792011,0.0,0.8125016865956098,0.9836065573770492
3,0.6666666666666666,0.5384615384615384,0.3228147691970402,0.4639999999999999,0.7983464228899558,0.9421487603305786
4,0.6666666666666666,0.4615384615384615,0.113290349987688,0.0,0.8081889835486733,0.9904926534140016
5,0.6666666666666666,0.6153846153846154,0.2453668253290164,0.4639999999999999,0.6742083429619239,0.9230769230769232
6,1.0,0.3076923076923077,0.1388457981075597,0.0,0.9185402944371972,0.9494614747307376
7,0.6666666666666666,0.5384615384615384,0.8790482166928495,0.4639999999999999,0.8931816490442335,0.9677419354838712
8,1.0,0.6153846153846154,0.6387013471861489,0.0,0.8910299964402396,0.9227166276346606
9,0.6666666666666666,0.6153846153846154,0.2453240990272842,0.4639999999999999,0.7138673613724603,0.9687235841081996
10,1.0,0.3076923076923077,0.8807861037515272,0.4639999999999999,0.8221038243005105,0.896551724137931
11,1.0,0.6153846153846154,0.2023037858808072,0.0,0.8580852956438081,0.9448441247002396
12,0.6666666666666666,0.4615384615384615,0.2740596166084488,0.4639999999999999,0.8752763918598423,0.8702290076335878
13,0.6666666666666666,0.4615384615384615,0.7461934415020062,0.0,0.8025237769129098,0.9736618521665252
14,0.6666666666666666,0.3846153846153846,0.2452967656518265,0.4639999999999999,0.58925572654983,0.97531914893617
15,0.6666666666666666,0.5384615384615384,0.3691882034792609,0.4639999999999999,0.8756007280116718,0.9526184538653368
16,1.0,0.7692307692307693,0.6178045401919612,0.4639999999999999,0.9624499088817664,0.9924433249370276
17,1.0,0.6153846153846154,0.4373419697290448,0.4639999999999999,0.881972699267544,0.9099307159353348
18,1.0,0.9230769230769232,0.8338314862223,0.4639999999999999,0.9117185309239269,0.9836909871244636
19,1.0,0.6153846153846154,0.2525910685647232,0.0,0.8013681892879578,0.977667493796526
20,1.0,0.6153846153846154,0.8217214773793619,0.4639999999999999,0.8872678392566007,1.0
21,0.6666666666666666,0.6153846153846154,0.5524901739595721,0.0,0.8575716948368106,0.8775055679287306
22,1.0,0.6923076923076923,0.353390652655984,0.0,0.846296968052279,0.9974683544303796
23,0.6666666666666666,0.4615384615384615,0.2516071672840692,0.4639999999999999,0.7945461436972615,0.9629629629629632
24,1.0,0.9230769230769232,0.7232776032888829,0.4639999999999999,0.8067792864162782,0.9939288811795316
25,0.6666666666666666,0.8461538461538461,0.2689917473425665,0.4639999999999999,0.8434845742550199,0.9523809523809524
26,1.0,0.9230769230769232,0.5201038577089339,0.4639999999999999,0.9232548010409488,0.9589958158995816
