Row,knn,tree,nb,logreg,svm_rbf,rf
1,0.8,1.0,0.7198374575536984,0.7094459284042581,0.7406915760716077,0.76
2,1.0,1.0,0.9786682241457476,0.9500917202847338,0.9025598314563796,0.87
3,0.6,1.0,0.7929204894276907,0.7608788555272086,0.8372240266269262,0.61
4,1.0,1.0,0.9874103176095071,0.9544853707383438,0.9148507178193106,0.97
5,0.6,0.0,0.9999965227489074,0.9351015311686774,0.6435549614493089,0.77
6,0.6,1.0,0.9404879682007232,0.8480569482262835,0.8227445979397982,0.93
7,0.0,0.0,0.0299603458503766,0.0671467538625036,0.0765938538145837,0.09
8,0.6,0.0,0.1302995130727962,0.2892840072508249,0.2801774378046586,0.37
9,0.6,0.0,0.999178630150096,0.5550523248785258,0.6874320405384751,0.63
10,0.4,1.0,0.0067148353747002,0.0350757095112073,0.2174009846840453,0.2
11,0.8,1.0,0.8493833402220411,0.7829732292236514,0.7691653092800603,0.8
12,0.6,0.0,0.9194850815221792,0.8923043545781396,0.9007896062738204,0.77
13,0.4,1.0,0.0127279051954362,0.1644064103529049,0.5,0.66
14,0.8,0.0,0.999995446016057,0.4591833392528386,0.5232164036067185,0.59
15,0.4,1.0,0.7523047173103986,0.6594406132185211,0.6609194901176915,0.7
16,0.4,0.0,0.5735327052443289,0.4616209870160076,0.3910330780286392,0.25
17,0.4,0.0,0.5150603619032036,0.3617166867522497,0.3531385416248311,0.55
18,0.6,0.0,0.1080773037102996,0.2138041062999247,0.2110548734145499,0.29
19,0.8,1.0,0.7462526755453807,0.6256923370966359,0.5208464389250178,0.7
20,0.2,0.0,0.1047116382377518,0.2214336972136363,0.2394629932002623,0.34
21,0.4,1.0,0.4592043154743446,0.5980564792001112,0.5729837804431884,0.59
22,0.4,1.0,0.6550903247291731,0.6498742762041039,0.7056999175860137,0.64
23,0.8,1.0,0.984947979794382,0.9363895399082384,0.9566956290203183,0.75
24,0.4,1.0,0.1893353315490274,0.2674059517907493,0.2112396527899926,0.55
25,0.2,0.0,0.9234395656419284,0.7015120134006573,0.6170755739647588,0.62
26,0.4,0.0,0.4623701624497731,0.4472380822540653,0.3335236529988752,0.34
27,0.4,1.0,0.6277627698118314,0.7241385619360635,0.7863546397605439,0.63
28,1.0,1.0,0.987325969065497,0.9540902753255835,0.9551552727240932,0.97
29,0.6,0.0,0.153219238431107,0.4512207208070865,0.623361686327498,0.58
30,0.4,0.0,0.7743653128993007,0.7261434967749809,0.6586525302465049,0.46
31,0.2,1.0,0.7524428411511828,0.576771442068748,0.6714645286975081,0.49
32,0.4,1.0,0.6861329025226945,0.5224520718657103,0.5619487927572726,0.72
33,1.0,1.0,0.9890453877180804,0.9484842620849694,0.933408334920025,0.95
34,1.0,1.0,0.976489942431403,0.9618959242905648,0.9183628620887891,0.96
35,0.4,1.0,0.5269296406918992,0.5488360876815446,0.4267116930180991,0.26
36,0.8,1.0,0.854379184917937,0.855481907725582,0.8061515516859596,0.69
37,0.2,0.0,0.3407394487462742,0.3740142746306467,0.2739973103593797,0.32
38,0.2,1.0,0.5356808987313123,0.4398091563717535,0.3938816999863797,0.52
39,0.0,0.0,0.0749271256153204,0.16825980696179,0.1241434202868955,0.06
40,1.0,0.0,0.9835704304738152,0.6030629554314353,0.6674190325438711,0.65
41,0.2,0.0,0.3068909211590415,0.2330749709522417,0.1643057179135303,0.09
42,0.2,0.0,0.3890100273533389,0.3060083959201189,0.1701900150275962,0.24
43,0.8,1.0,0.8804535826106712,0.8792748911637699,0.9065938707794248,0.84
44,1.0,0.0,0.9945349846752992,0.9057092022297633,0.8421859482078871,0.77
45,0.2,0.0,0.4807590112681445,0.3563401854962947,0.2508365250036996,0.19
46,0.6,1.0,0.9968181677919168,0.935805826712324,0.7378922668541417,0.84
47,0.6,1.0,0.81374597927996,0.5847563297680609,0.4670882613689008,0.51
48,1.0,1.0,0.985147895176354,0.957449386396002,0.9167833200568498,0.95
49,0.0,1.0,0.2129505049465744,0.4084776112737098,0.2379351939265234,0.54
50,0.8,1.0,0.94604007364507,0.9393842243201072,0.7367089342829297,0.82
51,1.0,1.0,0.9926493985066414,0.9657026599440564,0.9297256278517836,0.99
52,1.0,1.0,0.982946606495819,0.913872339301879,0.9226015606743684,0.98
53,0.8,1.0,0.9829380189853488,0.9350063892293042,0.8729988330451979,0.96
54,0.8,1.0,0.9951378089074068,0.8319539775875539,0.8144112354985057,0.86
55,0.4,0.0,0.014177378310466,0.2654790027873963,0.1940405125887504,0.19
56,1.0,1.0,0.994273140054326,0.9760617700008356,0.9188785753342472,0.98
57,0.8,1.0,0.9920850635681998,0.8797236953353281,0.8839603406622513,0.83
58,0.8,1.0,0.3036250683735024,0.6039828645324505,0.5409984710452633,0.6
59,0.0,0.0,0.0078785199429606,0.1251594442128218,0.3379248446278061,0.23
60,1.0,1.0,0.8953570819255383,0.8321072109901244,0.8599950695452612,0.81
61,0.8,1.0,0.9997499124974508,0.9916840353315496,0.8399065804395838,0.99
62,0.6,0.0,0.3483357515264019,0.511902436217358,0.5253758722094785,0.51
63,1.0,1.0,0.9799606984686804,0.982281946622934,0.8436888233750568,0.95
64,0.8,1.0,0.8488248972390985,0.6589195687294829,0.6213229625995313,0.7
65,1.0,1.0,0.1699531775986613,0.3267685626583003,0.3187937107328106,0.65
66,1.0,0.0,0.9532057004333828,0.88313921556501,0.9223033041251442,0.86
67,0.4,1.0,0.2384256010882231,0.2130879035461212,0.4269853479608323,0.45
68,0.2,1.0,0.4403973187834776,0.4364187098162833,0.3363992298579137,0.56
69,1.0,1.0,0.990524191208632,0.9644261156246472,0.914716577816256,1.0
70,0.4,1.0,0.7939147189326985,0.6867547433561908,0.7751534964954255,0.61
71,0.0,0.0,0.0905677988322431,0.2073606738188108,0.1445730364052017,0.12
72,0.4,1.0,0.826985462330007,0.6261442670989666,0.6709106222839326,0.45
73,0.4,1.0,0.953531125799086,0.8634350119422907,0.5938070647646722,0.51
74,0.8,0.0,0.5164702859663144,0.7098316336593808,0.840895634937072,0.63
75,1.0,1.0,0.9788493241385712,0.9427250861332216,0.916974228878174,0.95
76,1.0,1.0,0.9931041097492258,0.998278266494808,0.7739989425354141,0.98
77,0.8,1.0,0.858370075115242,0.8966277184523944,0.8618130668500263,0.88
78,0.8,1.0,0.9329097259414264,0.8020963196694485,0.8451115438818212,0.89
79,0.8,1.0,0.5788722968488567,0.6995460003804296,0.8017441670737564,0.76
80,1.0,1.0,0.975939047818384,0.8932491969014894,0.890148229700109,1.0
81,1.0,1.0,0.981086999372448,0.893765819845169,0.8202801161964745,0.94
82,1.0,1.0,0.9903366537832043,0.9924595186914136,0.8216914187733687,0.99
83,0.6,0.0,0.8310209881269879,0.8267250239227684,0.6428505476043227,0.58
84,1.0,1.0,0.9879779252509584,0.9518948700612548,0.8361541160957313,0.99
85,0.8,1.0,0.7535475667063793,0.7200277295514604,0.6877778830760476,0.65
86,0.6,1.0,0.8890916381362586,0.796868857180457,0.7641322005480958,0.68
87,0.8,0.0,0.1064809669040727,0.4683543404047648,0.5733659858210383,0.6
88,1.0,1.0,0.9549396222784394,0.8252513119578788,0.8821322549973029,0.95
89,0.8,0.0,0.9756534564340772,0.7886979367198739,0.5965748147408386,0.41
90,1.0,1.0,0.9826696300219216,0.9239708778974012,0.9104796374695096,0.98
91,1.0,1.0,0.9957845264333296,0.9811479951197776,0.928607012977528,1.0
92,0.6,1.0,0.8013344188914489,0.7413305195988033,0.6917300983044158,0.56
93,0.8,1.0,0.7168225024555285,0.6602482155439359,0.7375562520552893,0.74
94,0.2,0.0,0.185559087579648,0.3146438067189899,0.1973031505200745,0.11
95,0.8,1.0,0.8818645368254487,0.7218384613355087,0.7562262518197395,0.84
96,0.8,0.0,0.3611544910553564,0.4804477132334258,0.4111348673623469,0.39
97,1.0,1.0,0.973431994687086,0.9094585791834168,0.8607964614651762,0.94
98,1.0,1.0,0.9956450139671732,0.9823786743879624,0.9364239851062012,0.99
99,0.8,1.0,0.9591779685480208,0.8596440027186371,0.8844213761772654,0.91
100,0.4,0.0,0.5778245801335875,0.4344910602444524,0.348293286150875,0.52
101,0.6,1.0,0.9504713052661372,0.8626600064277129,0.7799777912446177,0.79
102,0.8,0.0,0.90947329490351,0.753154065481213,0.7805585314011775,0.75
103,1.0,1.0,0.9704622175994098,0.938889631050097,0.8981414189804946,0.86
104,1.0,1.0,0.987894241196162,0.965584735010418,0.8969259371669076,0.98
105,0.8,1.0,0.8368233423282369,0.7031606347539516,0.7438831784816747,0.71
106,1.0,1.0,0.8912753230188246,0.7602473017630813,0.8032551442681239,0.94
107,1.0,1.0,0.9089829351309556,0.9808291812848464,0.785375571072874,0.92
108,0.6,1.0,0.7479757516004334,0.5644141602467523,0.5227193730391415,0.65
109,0.8,1.0,0.9763284880990744,0.9017881385198796,0.8544117314322035,0.86
110,0.0,0.0,0.047276369161704,0.1002881772000262,0.0928699179054147,0.03
111,0.4,0.0,0.5364185619399622,0.5336234313948339,0.4859963879917524,0.57
112,1.0,1.0,0.9997157658628248,0.7478080080403878,0.839326350681643,0.74
113,1.0,0.0,0.982312974815925,0.9524808540387764,0.8818581203568996,0.94
114,0.8,1.0,0.97706327627405,0.909640498987862,0.8735249742709845,0.86
115,0.4,1.0,0.7320858267768984,0.7358912507382601,0.7895790636309252,0.74
116,0.2,1.0,0.5183343559388572,0.5109935254134271,0.518302869600838,0.5
117,0.8,1.0,0.2022272913568119,0.375993133128891,0.5474304524359475,0.58
118,1.0,0.0,0.9587606470604256,0.8703438734463457,0.7335292136780468,0.77
119,1.0,1.0,0.9741934883788544,0.8715008203516077,0.8900813232829964,0.96
120,1.0,1.0,0.9886371916426722,0.9488092480764256,0.89926305810117,0.99
121,0.6,1.0,0.9045111415522522,0.9021411176123418,0.7317858328512159,0.79
122,0.8,1.0,0.8889699815529095,0.7099017218619823,0.8382940327582364,0.79
123,1.0,1.0,0.9490001183360384,0.8444485945765303,0.9200703134640552,0.91
124,0.8,0.0,0.7403768070819482,0.6251833038098333,0.8174620895768155,0.85
125,0.0,0.0,0.0516420333568358,0.1331633020315496,0.160170266430015,0.2
126,0.2,0.0,0.1533604563916404,0.5304308849130712,0.3340872599125941,0.2
127,0.8,0.0,0.7736563783115306,0.5547600342899324,0.7011046415027513,0.71
128,0.8,1.0,0.932324679714003,0.8025315927497219,0.8179077529979435,0.84
129,0.6,1.0,0.1641847901131389,0.1864650091769891,0.2075631646349107,0.36
130,0.4,0.0,0.2036872770216315,0.2197104988546052,0.3214553142095189,0.2
131,0.6,1.0,0.5644366961585481,0.6183022068917491,0.72435021599476,0.73
132,0.6,0.0,0.6702747230897957,0.6676219988102153,0.6445354544584775,0.52
133,1.0,1.0,0.7930077413448001,0.6722685334728519,0.7563076846571913,0.82
134,0.8,1.0,0.8207323972343128,0.7595961919131908,0.7903814253658126,0.66
135,0.8,1.0,0.990319576825924,0.952126129947348,0.9293776133621182,0.97
136,0.8,1.0,0.8786433508367631,0.754181648832734,0.7788012209353644,0.59
137,0.6,1.0,0.9659863067220552,0.8956462186919225,0.90288171767725,0.94
138,1.0,1.0,0.9776746800449092,0.9305364533590637,0.9209113722220652,0.92
139,0.4,0.0,0.8524808710361519,0.7641310075103505,0.5831444195381442,0.37
140,0.8,1.0,0.4403579621963966,0.8287025802656829,0.7843883193085593,0.75
141,0.4,1.0,0.886704306297161,0.7928504136329974,0.6243358908034944,0.58
142,0.8,0.0,0.7897108498820097,0.6450177513618751,0.7071670034988999,0.6
143,1.0,0.0,0.9645981039073712,0.8207653761979428,0.8626951929778601,0.93
144,0.2,0.0,0.2953191659625745,0.371310726242203,0.2607984817905588,0.38
145,0.4,1.0,0.4172181594588738,0.5626621694404017,0.7004961512918477,0.55
146,1.0,1.0,0.996457104408979,0.9918023055299664,0.6399261900419372,1.0
147,0.8,1.0,0.8715889287852352,0.951328601092489,0.856294195422134,0.78
148,0.4,0.0,0.2392412972062175,0.6547330252566341,0.4626827846361196,0.47
149,0.6,0.0,0.3625564518279244,0.3025833202255742,0.3423377910428133,0.39
150,1.0,1.0,0.9886270361332083,0.9540947453232624,0.9118737913791688,0.98
151,0.8,1.0,0.543354328373608,0.6318876332821506,0.6530826087025355,0.6
152,1.0,1.0,0.969943917775573,0.8823321338298009,0.841988072090102,0.87
153,0.6,1.0,0.9750215150673436,0.8552272568325251,0.9278330755178104,0.79
154,0.4,1.0,0.0008504980684521,0.3873596020497636,0.350004159726896,0.59
155,0.8,1.0,0.979776041807356,0.9568829238922952,0.9152959386891196,0.7
156,0.8,1.0,0.8775627950410989,0.8891117915936654,0.844581024277211,0.66
157,0.8,1.0,0.9840541555216984,0.9174185487791416,0.9414763521800472,1.0
158,1.0,1.0,0.9580932456335716,0.8761760629332817,0.914164708281067,0.97
159,1.0,1.0,0.9862069468077888,0.9491157569761396,0.9311257240812318,0.98
160,0.8,0.0,0.9993448898912942,0.96711457799178,0.8258443686204089,0.8
161,0.8,1.0,0.5338439701355029,0.5266254060507164,0.4686854152765102,0.4
162,1.0,1.0,0.690287159318177,0.683365346022692,0.8536977317689131,0.86
163,0.6,1.0,0.4484741878183612,0.7923999971127715,0.7178249312260839,0.66
164,1.0,1.0,0.9826379234666316,0.8994580302456044,0.8655298914996751,0.96
165,0.6,0.0,0.2184277517278209,0.2907773594226916,0.3667505975709327,0.47
166,0.0,0.0,0.2017560160217228,0.2449392049869212,0.2438955997855915,0.38
167,0.6,1.0,0.8448575311574734,0.5504004971101926,0.7034437403214145,0.53
168,0.4,0.0,0.8366502248521899,0.6528740060812983,0.5264343971851405,0.43
169,0.6,1.0,0.9247406333170402,0.7618111286168836,0.7436230305792826,0.68
170,1.0,1.0,0.9366267151273516,0.8641319738456764,0.9001690658748881,0.81
171,0.4,0.0,0.1138147380405431,0.1671679167007825,0.15925817422942,0.16
172,0.2,1.0,0.2840017726040635,0.5304560963232894,0.4511027231483528,0.41
