Row,kDN,TD_U,CL,Harmfulness,Usefulness,F2
1,0.4,0.5818181818181818,0.4939231334068727,0.0049504950495049,0.995049504950495,0.6667894429524834
2,0.4,0.9454545454545454,0.5060775097953522,0.0033003300330033,0.9966996699669968,0.6666693158303091
3,0.3,0.1818181818181818,0.4885351060445032,0.0016501650165016,0.995049504950495,0.7387992321455039
4,0.6,0.2,0.5114648938012764,0.0,1.0,0.7849207339003711
5,0.5,0.9636363636363636,0.4939225579445725,0.0,1.0,0.6666776776074127
6,0.4,0.9454545454545454,0.4939225185711566,0.0033003300330033,0.9933993399339934,0.666674487189536
7,0.5,0.6727272727272727,0.4939228662983704,0.0,1.0,0.6667114593442232
8,0.6,0.109090909090909,0.4939548478873844,0.0,1.0,0.6709490081026803
9,0.6,0.6363636363636364,0.5060770730056683,0.0033003300330033,0.9966996699669968,0.6667573576977175
10,0.4,0.2363636363636363,0.5055180102485658,0.0,1.0,0.6928545397494963
11,0.7,0.4727272727272727,0.5060741536788884,0.0,1.0,0.6672716211811157
12,0.2,0.1818181818181818,0.5060296719891291,0.0,1.0,0.6736103087811282
13,0.6,0.9818181818181818,0.4939225616772005,0.0016501650165016,1.0,0.6666810518885228
14,0.8,0.0727272727272727,0.4940014133860494,0.0033003300330033,1.0,0.6746569488480293
15,0.6,0.2909090909090909,0.4939307631500023,0.0049504950495049,1.0,0.6681175560345312
16,0.8,0.2,0.503181658734465,0.0016501650165016,1.0,0.7119778219662736
17,0.5,0.6545454545454545,0.493923012675827,0.0,1.0,0.6667479909662823
18,0.4,0.9818181818181818,0.5060775215745855,0.0,1.0,0.666666875203832
19,0.5,0.9636363636363636,0.5060774566959191,0.0,1.0,0.66667841472087
20,0.4,0.1818181818181818,0.4885351060445032,0.0,0.995049504950495,0.8058140550106275
21,0.7,0.9818181818181818,0.5060774844564022,0.0,0.9983498349834984,0.6666742294290819
22,0.5,0.109090909090909,0.5060542188674482,0.0049504950495049,0.9966996699669968,0.6706798827424553
23,0.6,0.509090909090909,0.4939241539448906,0.0,0.9983498349834984,0.6669252487546319
24,0.4,0.1818181818181818,0.4942266287982857,0.0,0.995049504950495,0.6860463078927505
25,0.7,0.0909090909090909,0.511461620727913,0.0016501650165016,0.9983498349834984,0.7666248374809009
26,0.5,0.2363636363636363,0.4949604431138287,0.0,1.0,0.6897624929994638
27,0.5,0.2,0.5114648929846557,0.0049504950495049,1.0,0.8378875901455858
28,0.8,0.6545454545454545,0.4939230515613877,0.0016501650165016,0.995049504950495,0.6667756738856162
29,0.6,0.0727272727272727,0.4939492581249984,0.0,0.9966996699669968,0.6705578974413817
30,0.8,0.2727272727272727,0.506068296651678,0.0,1.0,0.668228891126885
31,0.3,0.1454545454545454,0.4885598577085266,0.0,0.9966996699669968,0.7768672258448258
32,0.4,0.6,0.5060769621557111,0.0,1.0,0.6667726140897772
33,0.5,0.1454545454545454,0.5059074486978501,0.0049504950495049,0.9966996699669968,0.6833018183989664
34,0.5,0.6363636363636364,0.5060771088366309,0.0,1.0,0.6667452479720469
35,0.8,1.0,0.5060775157720953,0.0066006600660066,0.9966996699669968,0.6666682291865738
36,0.5,0.1818181818181818,0.4885351060445032,0.0016501650165016,1.0,0.798068470225794
37,0.5,0.8545454545454545,0.5060774386079451,0.0049504950495049,0.995049504950495,0.6666842551323955
38,0.5,0.1272727272727272,0.5114648939554968,0.0,1.0,0.6168323984757015
39,0.4,0.2545454545454545,0.4939313542543226,0.0016501650165016,0.9983498349834984,0.6680519574676118
40,0.4,0.9818181818181818,0.5060775204576797,0.0,0.9966996699669968,0.6666671875058219
41,0.5,0.4727272727272727,0.4939245886552394,0.0,0.9983498349834984,0.6669919469108573
