Row,z_1,z_2
0,-1.386742691232955,-1.605214287430036
1,-1.5417737511878533,-0.8533013004498746
2,-1.4705441394242669,0.9759822659471239
3,1.0261874632528758,1.3340988438204544
4,1.207438663896248,1.1471635191791798
5,1.443463541950369,0.854566520381982
6,1.751880726556521,-0.5101304722815783
7,1.827039049384655,-0.7303020503862033
8,1.8680903654462795,-0.974178122801934
9,1.9013340819234514,-1.390570239573765
10,1.8722496100318864,-1.7510357927116964
11,1.8498594695466062,-1.9887359350286873
12,1.846813215379762,-2.0420663935790593
13,1.8431845905787576,-2.142470546084281
14,1.6078103575094704,-2.5012028889924696
15,1.2617473632082499,-2.9100685807047144
16,1.218381885030423,-2.6205693110973307
17,0.9290752688357904,-2.250942368903065
18,0.8986318905311947,-1.980436360720492
19,0.7154972013366924,-1.6298672170041468
20,-0.12689261078115827,-1.8925986418829623
21,-0.22070411305926635,-2.2091091986024756
22,-0.17132448008268647,-2.530015887288603
23,-0.8482848984397503,-2.4895174717564568
24,-1.1804521020176095,-2.0350349771906644
25,,
26,-0.7344162976331691,2.0302575853736986
27,-0.5368397429044042,2.3851379234457797
28,-0.37347583659335265,2.5775467088408237
29,0.22175527508019977,2.7523439486551795
30,0.6848104357262715,2.313212418813947
31,0.8635867695839321,1.8759339292696144
32,0.8892524747527064,1.773686276082565
33,1.0261874632528758,1.3340988438204544
34,-1.227536213935281,1.5156885230576147
