Row,z_1,z_2
0,-1.386742691232955,-1.605214287430036
1,-1.4180417655751858,-1.2762870569845306
2,-0.12689261078115827,-1.8925986418829623
3,-0.22070411305926635,-2.2091091986024756
4,-0.3632110341567195,-2.424704740503696
5,-0.8482848984397503,-2.4895174717564568
6,-1.1804521020176095,-2.0350349771906644
7,,
8,-1.809946162844765,0.22010073766031746
9,-0.17034769057565718,1.840374268060185
10,1.0261874632528758,1.3340988438204544
11,1.207438663896248,1.1471635191791798
12,1.443463541950369,0.854566520381982
13,1.751880726556521,-0.5101304722815783
14,1.8460565845480998,-0.7725061084643849
15,1.8680903654462795,-0.974178122801934
16,1.9013340819234514,-1.390570239573765
17,1.8722496100318864,-1.7510357927116964
18,1.8498594695466062,-1.9887359350286873
19,1.846813215379762,-2.0420663935790593
20,1.8431845905787576,-2.142470546084281
21,1.6078103575094704,-2.5012028889924696
22,1.2617473632082499,-2.9100685807047144
23,1.218381885030423,-2.6205693110973307
24,0.9290752688357904,-2.250942368903065
25,0.8986318905311947,-1.980436360720492
26,0.7154972013366924,-1.6298672170041468
27,-0.12689261078115827,-1.8925986418829623
28,-1.5417737511878533,-0.8533013004498746
29,,
30,-0.17034769057565718,1.840374268060185
31,-0.8366947632030327,2.1761852855055634
32,-0.5279675671573114,2.203812877944808
