Row,kDN,DS,DCP,TD_P,TD_U,CL,CLD,MV,CB,N1,N2,LSC,LSR,Harmfulness,Usefulness,F2,F3,F4
1,0.3,0.823076923076923,0.2753623188405797,0.6666666666666666,0.5384615384615384,0.390201611471157,0.390201611471157,0.4639999999999999,0.7673611111111112,0.5,0.4421586351976412,0.9888059701492538,0.8245904923280436,0.0,0.9925373134328358,0.6666666666666666,0.8582453591076836,0.9629629629629632
2,0.0,0.7846153846153846,0.3988439306358381,1.0,0.6153846153846154,0.1170978283792011,0.1170978283792011,0.0,0.5659722222222222,0.0,0.3668757729664966,0.908,0.8125016865956098,0.0,0.96,0.6666666666666666,0.8345047561794885,0.9836065573770492
3,0.3,0.9230769230769232,0.6842105263157895,0.6666666666666666,0.5384615384615384,0.3228147691970402,0.3228147691970402,0.4639999999999999,0.7673611111111112,0.0,0.4787890936308787,0.9813432835820896,0.7983464228899558,0.0,0.9925373134328358,0.6666666666666666,0.7971627287626653,0.9421487603305786
4,0.0,0.0,0.084870848708487,0.6666666666666666,0.4615384615384615,0.113290349987688,0.113290349987688,0.0,0.5659722222222222,0.0,0.2390354939509705,0.79,0.8081889835486733,0.0,0.908,0.6666666666666666,0.8183630661251659,0.9904926534140016
5,0.4,0.9538461538461538,0.2753623188405797,0.6666666666666666,0.6153846153846154,0.2453668253290164,0.2453668253290164,0.4639999999999999,0.7673611111111112,0.0,0.4701871271997664,0.9850746268656716,0.6742083429619239,0.0,0.996268656716418,0.6666666666666666,0.7939441710757731,0.9230769230769232
6,0.3,0.7076923076923076,0.048780487804878,1.0,0.3076923076923077,0.1388457981075597,0.1388457981075597,0.0,0.5659722222222222,0.25,0.3474173188849739,0.996,0.9185402944371972,0.003731343283582,0.99,0.6666666666666666,0.8021921547177571,0.9494614747307376
7,1.0,0.9923076923076924,0.915129151291513,0.6666666666666666,0.5384615384615384,0.8790482166928495,0.8790482166928495,0.4639999999999999,0.7673611111111112,1.0,0.6526467172473644,0.996268656716418,0.8931816490442335,0.04,1.0,0.6999843823207871,0.8378960485876081,0.9677419354838712
8,0.6,0.9384615384615383,0.3988439306358381,1.0,0.6153846153846154,0.6387013471861489,0.6387013471861489,0.0,0.5659722222222222,1.0,0.5661607628346703,0.998,0.8910299964402396,0.0074626865671641,1.0,0.6666666666666666,0.7538269599687734,0.9227166276346606
9,0.2,0.9153846153846154,0.2753623188405797,0.6666666666666666,0.6153846153846154,0.2453240990272842,0.2453240990272842,0.4639999999999999,0.7673611111111112,0.0,0.4821839472789601,0.9888059701492538,0.7138673613724603,0.0,0.996268656716418,0.6666666666666666,0.8046376474875837,0.9687235841081996
10,0.8,0.9923076923076924,0.951219512195122,1.0,0.3076923076923077,0.8807861037515272,0.8807861037515272,0.4639999999999999,0.7673611111111112,0.0,0.4995410479062134,0.9925373134328358,0.8221038243005105,0.002,1.0,0.6666666666666666,0.7589698675297998,0.896551724137931
