Row,DS,TD_P,CL,LSR,F2,F3
1,0.0,0.25,0.0660819301995656,0.0,0.3,0.4137963822493649
2,0.0,0.25,0.0660819301995656,0.0005197505197505,0.3,0.4319676888919199
3,0.0,0.25,0.0660819301995656,0.0,0.3,0.3996390489994494
4,0.0,0.25,0.0660819301995656,0.0,0.3,0.409558530821011
5,0.0,0.25,0.0660819301995656,0.0,0.3,0.3974032424627999
6,0.0,0.25,0.0660819301995686,0.0,0.3571428571428571,0.4454026774090844
7,0.0,0.25,0.0660819301995656,0.0,0.3259259259259259,0.3873917786708484
8,0.0,0.25,0.0660819301995656,0.0,0.3,0.4132261671768194
9,0.0,0.25,0.0660819301995656,0.077139761646804,0.3,0.4034268849233459
10,0.0,0.25,0.0660819301995656,0.0,0.2780748663101604,0.4242792676005713
11,0.0,0.25,0.0660819301995656,0.0,0.3,0.4331458627880695
12,0.0,0.25,0.0660819301995656,0.0,0.3,0.4001672475810406
13,0.0,0.25,0.0660819301995656,0.0004827419744147,0.2780748663101604,0.4188235702204178
14,0.0,0.25,0.0660819301995656,0.0004041220448575,0.2780748663101604,0.3839345448908093
15,0.0,0.25,0.0660819301995656,0.0,0.3,0.363980801489061
16,0.0,0.25,0.0660819301995656,0.0,0.3138033763654418,0.3828396024307711
17,0.0,0.25,0.0660819301995656,0.0,0.3555555555555555,0.4318964882931392
18,0.0,0.25,0.0660819301995656,0.0,0.3259259259259259,0.4202778637308464
19,0.0,0.25,0.0660819301995668,0.0,0.3259259259259259,0.4041475621963426
20,0.0,0.25,0.0660819301995656,0.0,0.3259259259259259,0.4072903108539005
21,0.0,0.25,0.0660819301995658,0.0,0.3,0.4584129379700624
22,0.0,0.25,0.0660819301995658,0.0,0.3571428571428571,0.4199716228403741
23,0.0,0.25,0.0660819301995656,0.0,0.3,0.3575208515219275
24,0.0,0.25,0.0660819302033258,0.0,0.3956043956043956,0.4622993158894365
25,0.0,0.25,0.0660819301995676,0.0,0.3,0.4126825100963031
26,0.0,0.25,0.0660819301995656,0.0337801608579092,0.3,0.4475743432195045
27,0.0,0.25,0.0660819301995691,0.0,0.3571428571428571,0.431004686004686
28,0.0,0.25,0.0660819301995656,0.0,0.3,0.4294437033943557
29,0.0,0.25,0.0660819301995656,0.0,0.3,0.4328583491374189
30,0.0,0.25,0.0660819301995656,0.0,0.3,0.4093460087064092
31,0.0,0.25,0.0660819301995656,0.0,0.3,0.4255905203161413
32,0.0,0.25,0.0660819301995701,0.0,0.3571428571428571,0.465406618304639
33,0.0,0.25,0.0660819301995656,0.0,0.2780748663101604,0.3955056035300981
34,0.0,0.25,0.0660819301995656,0.0,0.3,0.394320003321445
35,0.0,0.25,0.0660819301995656,0.0,0.2780748663101604,0.4242792676005713
36,0.0,0.25,0.0660819301995656,0.0,0.3,0.4200845080361173
37,0.0,0.25,0.0660819301995656,0.0,0.3,0.4232295482295482
38,0.0,0.25,0.0660819301995656,0.0,0.2780748663101604,0.4242792676005713
39,0.0,0.25,0.0660819301995656,0.0004434589800442,0.3,0.3989484645936259
40,0.0,0.25,0.0660819301995656,0.0,0.3,0.423660949785515
41,0.0,0.25,0.0660819301995656,0.0,0.3259259259259259,0.4068538868538868
42,0.0,0.25,0.0660819301995658,0.4006233956729007,0.3259259259259259,0.3671957671957672
