Row,DS,CLD,N1,LSC,Harmfulness,F4
1,0.98,0.4579003865855029,0.0,0.9887640449438202,0.0,0.7027027027027026
2,1.0,0.5074260711613037,0.0,0.9887640449438202,0.0,0.8190476190476191
3,0.9,0.4652785931790635,0.0,0.9887640449438202,0.0,0.8686868686868686
4,0.9,0.4581503715633186,0.0,0.9550561797752808,0.0,0.9504950495049505
5,0.86,0.5420954219306185,0.5,0.9964912280701754,0.0112359550561797,0.9662921348314606
6,0.98,0.2383778573853482,1.0,0.9982456140350876,0.0056179775280898,0.7428571428571428
7,1.0,0.7151870744345831,0.0,0.9719101123595506,0.0,0.7350427350427351
8,0.98,0.4636197652677503,1.0,0.9982456140350876,0.0056179775280898,0.8648648648648649
9,0.98,0.6514103985121382,0.5,0.9887640449438202,0.0035087719298245,0.7741935483870969
10,0.98,0.4579003865855029,0.5,0.99438202247191,0.0017543859649122,0.7647058823529411
11,1.0,0.5420878832823547,0.6666666666666666,0.9982456140350876,0.0224719101123595,0.9885057471264368
12,0.98,0.2342516228207576,0.6666666666666666,0.9982456140350876,0.0112359550561797,0.6880000000000001
13,0.9,0.6120405338602412,0.2,0.9775280898876404,0.0035087719298245,0.8135593220338984
14,0.98,0.4909047230451054,1.0,0.9982456140350876,0.0112359550561797,0.9696969696969696
15,0.92,0.7364907949658293,0.0,0.9775280898876404,0.0,0.7328244274809159
16,0.96,0.7503423456102924,0.5,0.9831460674157304,0.0,0.7111111111111111
17,1.0,0.486945748398402,0.6666666666666666,0.9887640449438202,0.0017543859649122,0.9795918367346936
18,0.9,0.4734600018594904,0.0,0.9887640449438202,0.0,0.9896907216494848
19,0.92,0.7364907949658293,0.0,0.9775280898876404,0.0,0.7328244274809159
20,0.96,0.759994966702431,0.5,0.9887640449438202,0.0,0.7027027027027026
21,0.96,0.759994966702431,1.0,0.9887640449438202,0.0017543859649122,0.7027027027027026
22,0.94,0.4262984910137646,0.5,0.9964912280701754,0.0,0.8135593220338984
23,0.92,0.7365847083649231,0.25,0.9719101123595506,0.0,0.7384615384615385
24,0.92,0.7365847083649231,0.0,0.9719101123595506,0.0,0.7384615384615385
25,1.0,0.2873091322463472,1.0,0.9982456140350876,0.0,0.8666666666666667
26,0.98,0.5132107696853515,0.6666666666666666,0.9982456140350876,0.0112359550561797,0.9056603773584908
27,0.98,0.2598708668904312,1.0,0.9964912280701754,0.0112359550561797,0.7428571428571428
28,0.92,0.5372661504752205,1.0,0.99438202247191,0.0017543859649122,0.8571428571428572
29,0.96,0.7538751331316629,0.0,0.9606741573033708,0.0,0.7428571428571428
