Row,z_1,z_2
bnd_pnt_1,-2.8739944236730777,1.7710049277338178
bnd_pnt_2,-2.511474713618783,-0.8218330775016098
bnd_pnt_3,-1.0639314855716775,-1.3511400099014486
bnd_pnt_4,-0.23735173092768547,-1.5272311384209973
bnd_pnt_5,0.7186221848161305,-1.5712766819696582
bnd_pnt_6,2.4440702921490636,-1.352546127881801
bnd_pnt_7,2.5038257921195184,-1.192451754026656
bnd_pnt_8,2.1413060820652245,1.4003862512087715
bnd_pnt_9,0.6937628540181188,1.9296931836086104
bnd_pnt_10,-0.13281690062587315,2.1057843121281583
bnd_pnt_11,-1.088790816369689,2.1498298556768196
bnd_pnt_12,-2.8142389237026224,1.9310993015889624
