,feature_kDN,feature_DS,feature_DCP,feature_TD_P,feature_TD_U,feature_CL,feature_CLD,feature_MV,feature_CB,feature_N1,feature_N2,feature_LSC,feature_LSR,feature_Harmfulness,feature_Usefulness,feature_F1,feature_F2,feature_F3,feature_F4,algo_knn,proba_knn,algo_tree,proba_tree,algo_nb,proba_nb,algo_logreg,proba_logreg,algo_svm_rbf,proba_svm_rbf,algo_rf,proba_rf,class,n_wrong,ih
0,0.4,0.98,0.7183098591549295,1.0,0.3684210526315789,0.4579003865855029,0.4579003865855029,0.687719298245614,0.8413547237076648,0.0,0.4542102028272895,0.9887640449438202,0.9200994258270958,0.0,1.0,0.5,0.15837937384898712,0.5344194553081352,0.7027027027027026,1,0.6,0,0.0,1,1.0,1,0.9709578638973431,0,0.5395578413591723,0,0.46,2,3,0.40491404912391415
1,0.6,1.0,0.39495798319327735,1.0,0.47368421052631576,0.5074260711613037,0.5074260711613037,0.687719298245614,0.8413547237076648,0.0,0.3873266813528573,0.9887640449438202,0.9520562183429583,0.0,0.9943820224719101,1.0,0.6666666666666666,0.7795803066989508,0.8190476190476191,0,0.2,0,0.0,1,0.7517448040509703,1,0.6315146356023206,1,0.8284184642932402,0,0.33,2,3,0.5430536826755781
2,0.3,0.9,0.39495798319327735,1.0,0.21052631578947367,0.4652785931790635,0.4652785931790635,0.687719298245614,0.8413547237076648,0.0,0.39784124558219514,0.9887640449438202,0.947188968660205,0.0,0.9887640449438202,1.0,0.6842105263157894,0.8216122821385978,0.8686868686868686,1,0.6,0,0.0,1,0.928637021183465,1,0.6542317519642685,1,0.9235043798005694,0,0.5,2,2,0.39893780784194954
3,0.1,0.9,0.39495798319327735,1.0,0.21052631578947367,0.4581503715633186,0.4581503715633186,0.687719298245614,0.8413547237076648,0.0,0.23100186104218368,0.9550561797752809,0.8396392084318374,0.0,0.9831460674157303,1.0,0.7027027027027026,0.8858269105793857,0.9504950495049503,1,1.0,1,1.0,1,0.9945326362106448,1,0.7148518419961442,1,0.8347739940545909,1,0.85,2,0,0.10097358795643674
4,0.5,0.86,0.2816901408450704,1.0,0.42105263157894735,0.5420954219306185,0.5420954219306185,0.0,0.4919786096256684,0.5,0.4150030248033878,0.9964912280701754,0.9460453943446482,0.011235955056179775,0.9964912280701754,1.0,0.6842105263157894,0.8493206502141899,0.9662921348314606,0,0.4,1,1.0,0,9.636808632338981e-07,0,0.24665435217424214,0,0.3067135165079461,0,0.42,1,5,0.6044385279394915
5,0.6,0.98,0.2542372881355932,0.6666666666666666,0.631578947368421,0.23837785738534822,0.23837785738534822,0.0,0.4919786096256684,1.0,0.999999999999951,0.9982456140350877,1.0,0.0056179775280898875,1.0,1.0,0.6760563380281691,0.7043218661562873,0.7428571428571428,0,0.0,0,0.0,1,0.7631512886298513,1,0.5951123925889523,1,0.5820299743608608,0,0.037698412698412696,1,3,0.6703346552869871
6,0.3,1.0,0.39495798319327735,1.0,0.47368421052631576,0.7151870744345831,0.7151870744345831,0.687719298245614,0.8413547237076648,0.0,0.4302533172496984,0.9719101123595506,0.974205048889821,0.0,1.0,1.0,0.7027027027027026,0.7250152250152251,0.7350427350427351,1,0.6,0,0.0,0,0.24801452893430667,0,0.4775996176874393,0,0.41951524044794636,1,0.5253571428571429,2,4,0.6215855783455275
7,0.8,0.98,0.6050420168067228,1.0,0.47368421052631576,0.4636197652677503,0.4636197652677503,0.0,0.4919786096256684,1.0,0.6807530326482127,0.9982456140350877,0.9747081989465789,0.0056179775280898875,1.0,1.0,0.6842105263157894,0.7891380066736682,0.8648648648648649,0,0.2,0,0.0,0,0.3955220960781397,0,0.45738381481312873,0,0.14713967520748417,0,0.14,1,6,0.7766590689835412
8,0.3,0.98,0.39495798319327735,1.0,0.631578947368421,0.6514103985121382,0.6514103985121382,0.687719298245614,0.8413547237076648,0.5,0.4674512257105994,0.9887640449438202,0.9682532653384671,0.0035087719298245615,1.0,1.0,0.7027027027027026,0.7497550362237773,0.7741935483870969,1,0.6,0,0.0,0,0.4274039128565931,1,0.5113948465040209,1,0.8697128488461773,1,0.58,2,2,0.5019147319655348
9,0.4,0.98,0.7183098591549295,1.0,0.3684210526315789,0.4579003865855029,0.4579003865855029,0.687719298245614,0.8413547237076648,0.5,0.6252115059221658,0.9943820224719101,0.9575385795073326,0.0017543859649122807,0.9943820224719101,0.5,0.1560798548094374,0.5585172362956071,0.7647058823529411,1,0.6,0,0.0,1,1.0,1,0.9282273957870296,1,0.8153915312814827,0,0.35,2,2,0.3843968454885812
10,0.6,1.0,0.2816901408450704,1.0,0.5263157894736842,0.5420878832823547,0.5420878832823547,0.0,0.4919786096256684,0.6666666666666666,0.5362413599850551,0.9982456140350877,0.914870147684148,0.02247191011235955,0.9982456140350877,1.0,0.7428571428571428,0.9107363900467349,0.9885057471264368,1,0.6,0,0.0,0,0.0005640086431541418,0,0.3061823646116896,1,0.5207296069152484,0,0.3,1,4,0.712087336638318
11,0.5,0.98,0.2542372881355932,0.6666666666666666,0.42105263157894735,0.23425162282075762,0.23425162282075762,0.0,0.4919786096256684,0.6666666666666666,0.6016260162601625,0.9982456140350877,0.990058289197266,0.011235955056179775,1.0,1.0,0.6666666666666666,0.679680751173709,0.6880000000000001,1,0.6,1,1.0,1,0.7813685086504357,1,0.5296761365690377,1,0.6719006530368511,0,0.265,1,1,0.3586757836239459
12,0.4,0.9,0.39495798319327735,1.0,0.5263157894736842,0.6120405338602412,0.6120405338602412,0.687719298245614,0.8413547237076648,0.2,0.39837398373983746,0.9775280898876404,0.9827182718271827,0.0035087719298245615,0.9775280898876404,1.0,0.7027027027027026,0.7664528935715377,0.8135593220338984,1,0.6,1,1.0,0,0.44087985361219956,1,0.5251932278853146,1,0.7155732549282822,1,0.83,2,1,0.3147256105957007
13,0.6,0.98,0.6050420168067228,1.0,0.47368421052631576,0.49090472304510546,0.49090472304510546,0.0,0.4919786096256684,1.0,0.6602105717057746,0.9982456140350877,0.9706159281805554,0.011235955056179775,1.0,1.0,0.6842105263157894,0.8230006835269994,0.9696969696969697,0,0.4,0,0.0,0,0.17706803257623405,0,0.4574615329306031,0,0.2933570659223886,0,0.265,1,6,0.7345188947617958
14,0.3,0.92,0.39495798319327735,1.0,0.42105263157894735,0.7364907949658293,0.7364907949658293,0.687719298245614,0.8413547237076648,0.0,0.0,0.9775280898876404,0.9859260778957143,0.0,0.9775280898876404,1.0,0.7027027027027026,0.7202263203610307,0.7328244274809159,1,0.8,1,1.0,0,0.21559824818380058,0,0.436237161649776,0,0.5155478775026365,1,0.8827222222222221,2,3,0.3583157484069275
15,0.4,0.96,0.39495798319327735,1.0,0.3157894736842105,0.7503423456102924,0.7503423456102924,0.687719298245614,0.8413547237076648,0.5,0.36959801224598454,0.9831460674157303,0.985119739595443,0.0,0.9887640449438202,1.0,0.7027027027027026,0.7088253542798998,0.7111111111111111,1,0.6,1,1.0,0,0.19611203703860727,0,0.4259366643679265,0,0.40238455579078064,1,0.6629761904761905,2,3,0.45209842538774925
16,0.6,1.0,0.39495798319327735,1.0,0.5789473684210527,0.486945748398402,0.486945748398402,0.687719298245614,0.8413547237076648,0.6666666666666666,0.4417418012483899,0.9887640449438202,0.9674676813108772,0.0017543859649122807,0.9887640449438202,1.0,0.7027027027027026,0.8380493630146889,0.9795918367346937,1,0.6,0,0.0,1,0.8149458702079432,1,0.5274243319162747,1,0.6851563532133618,1,0.58,2,1,0.4654122407770701
17,0.6,0.9,0.39495798319327735,1.0,0.21052631578947367,0.47346000185949044,0.47346000185949044,0.687719298245614,0.8413547237076648,0.0,0.30639452977356285,0.9887640449438202,0.9401855533858604,0.0,0.9887640449438202,1.0,0.7027027027027026,0.8488409303454726,0.9896907216494847,1,0.6,1,1.0,1,0.958134517489928,1,0.5852344858926166,1,0.7953993610473027,1,0.81,2,0,0.2085386059283586
18,0.3,0.92,0.39495798319327735,1.0,0.42105263157894735,0.7364907949658293,0.7364907949658293,0.687719298245614,0.8413547237076648,0.0,0.0,0.9775280898876404,0.9859260778957143,0.0,0.9775280898876404,1.0,0.7027027027027026,0.7202263203610307,0.7328244274809159,1,0.8,1,1.0,0,0.21561060450412414,0,0.44289683061552193,0,0.3440061411509229,1,0.8453571428571428,2,3,0.39202154681204804
19,0.5,0.96,0.7457627118644068,0.6666666666666666,0.631578947368421,0.759994966702431,0.759994966702431,0.687719298245614,0.8413547237076648,0.5,0.0,0.9887640449438202,0.9906724038785668,0.0,0.9943820224719101,1.0,0.6760563380281691,0.688689760182718,0.7027027027027026,1,0.6,1,1.0,0,0.1817169458642709,0,0.40104148583655713,0,0.24451084858233338,1,0.8358333333333334,2,3,0.45614956439725085
20,0.5,0.96,0.7457627118644068,0.6666666666666666,0.631578947368421,0.759994966702431,0.759994966702431,0.687719298245614,0.8413547237076648,1.0,0.0,0.9887640449438202,0.9906724038785668,0.0017543859649122807,0.9943820224719101,1.0,0.6760563380281691,0.688689760182718,0.7027027027027026,0,0.4,1,1.0,0,0.23186044392407854,0,0.42211955189275785,0,0.3161623040317561,1,0.8987142857142857,2,4,0.4551905690728537
21,0.6,0.94,0.6050420168067228,1.0,0.47368421052631576,0.4262984910137646,0.4262984910137646,0.0,0.4919786096256684,0.5,0.39837398373983746,0.9964912280701754,0.9805926031154555,0.0,0.9929824561403509,1.0,0.7428571428571428,0.7835995290667969,0.8135593220338984,1,0.6,1,1.0,1,0.5000461616825835,1,0.5292028685138666,0,0.21810175153948774,1,0.65,1,1,0.4171082030440103
